Country Code,Country Name,Region,IncomeGroup,Year,Imports of goods and services (% of GDP),Exports of goods and services (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)",GDP (current US$),GDP per capita (current US$),Gross savings (% of GDP),"Inflation, consumer prices (annual %)","Total reserves (includes gold, current US$)","Unemployment, total (% of total labor force) (modeled ILO estimate)",GDP growth (annual %)
AFE,Africa Eastern and Southern,,,2009,32.03542023,27.94465632,18484265032.0,719095000000.0,1411.62246,18.62300571,8.954218024,,6.29558701104752,0.645423329221998
AFE,Africa Eastern and Southern,,,2010,30.63084665,29.5904817,13934880641.0,860361000000.0,1643.605569,20.19864205,5.537537916,,6.93364462972581,5.19713733939426
AFE,Africa Eastern and Southern,,,2011,31.79583818,31.19676269,17538712524.0,964213000000.0,1792.907505,20.51743901,8.97120641,,6.71535805738561,3.70019048397752
AFE,Africa Eastern and Southern,,,2012,32.96149337,29.67840062,24636342686.0,972002000000.0,1759.182395,18.88113508,9.158707155,,6.59935567323687,0.770097316747751
AFE,Africa Eastern and Southern,,,2013,33.65477776,28.98543893,21534249244.0,982677000000.0,1730.394686,18.69525397,5.750981334,,6.5127841025363,4.22940819721221
AFE,Africa Eastern and Southern,,,2014,31.64190659,27.58408629,27681419157.0,1003400000000.0,1719.183721,19.78753668,5.37028961,,6.55564528416233,4.03908219250131
AFE,Africa Eastern and Southern,,,2015,29.30712638,22.98370785,28774229517.0,923144000000.0,1538.552268,18.47495624,5.250170864,,6.70714160237614,2.89572832317184
AFE,Africa Eastern and Southern,,,2016,26.07366565,21.54567053,16660273342.0,889859000000.0,1443.692371,19.10592582,6.571396422,,6.8555894235371,2.48595245002608
AFE,Africa Eastern and Southern,,,2017,24.62266918,21.5751055,10108286477.0,1030480000000.0,1628.586788,19.96940327,6.399343416,,6.94036503514997,2.63953701909148
AFE,Africa Eastern and Southern,,,2018,28.04239226,25.15544536,13588979646.0,1016700000000.0,1564.73434,19.86724247,4.720811389,,6.91304643638878,2.61079683956498
AFE,Africa Eastern and Southern,,,2019,26.2438257,23.64853368,14996445733.0,1009050000000.0,1512.270553,21.13676195,4.12024587,,7.12166374671851,2.03829851920763
AFE,Africa Eastern and Southern,,,2020,23.31233224,21.93553042,12890634683.0,934179000000.0,1363.540741,20.87389151,6.362960553,,7.63130341847771,-3.04265314651346
AFE,Africa Eastern and Southern,,,2021,25.53167887,25.70216985,52974609490.0,1089450000000.0,1549.77273,20.40303201,6.079327542,,7.9202187313171,4.40244666489478
AFG,Afghanistan,South Asia,Low income,2000,,,170000.0,,,,,,8.05399990081787,
AFG,Afghanistan,South Asia,Low income,2001,,,680000.0,,,,,,8.03999996185303,
AFG,Afghanistan,South Asia,Low income,2002,,,50000000.0,3854235264.0,183.5327752,,,,8.18599987030029,
AFG,Afghanistan,South Asia,Low income,2003,,,57799999.9,4539500884.0,200.4625667,,,,8.12199974060059,8.83227781263571
AFG,Afghanistan,South Asia,Low income,2004,,,186900000.0,5220823685.0,221.6576042,,,,8.05300045013428,1.41411798058979
AFG,Afghanistan,South Asia,Low income,2005,,,271000000.0,6226199249.0,255.05512,,12.68626872,,8.11299991607666,11.2297148236429
AFG,Afghanistan,South Asia,Low income,2006,,,238000000.0,6971379033.0,274.0004865,,6.78459655,,8.05399990081787,5.35740325126351
AFG,Afghanistan,South Asia,Low income,2007,,,188690000.0,9715761650.0,375.0781281,,8.680570785,,8.10799980163574,13.8263195479763
AFG,Afghanistan,South Asia,Low income,2008,,,46033740.0,10249767311.0,387.8491743,,26.41866415,3042274496.10726,8.02200031280518,3.92498382161573
AFG,Afghanistan,South Asia,Low income,2009,,,56107246.5,12154835708.0,443.8451505,,-6.811161089,4265888740.23846,8.08199977874756,21.3905283931066
AFG,Afghanistan,South Asia,Low income,2010,,,190774432.0,15633856787.0,554.5952002,,2.178537524,5162440806.75156,8.06799983978271,14.3624414692681
AFG,Afghanistan,South Asia,Low income,2011,,,52173421.0,18190410821.0,621.9123109,,11.80418581,6344641959.56008,7.94700002670288,0.426354784529209
AFG,Afghanistan,South Asia,Low income,2012,,,56823660.0,20203572960.0,663.1410528,,6.441212809,7152304397.72645,8.01900005340576,12.7522870887171
AFG,Afghanistan,South Asia,Low income,2013,,,48311346.0,20564485419.0,651.9878619,,7.385771784,7288702710.90529,7.94899988174438,5.60074465808154
AFG,Afghanistan,South Asia,Low income,2014,,,42975262.5,20550582747.0,628.1468039,,4.673996035,7528549879.63682,7.90999984741211,2.72454336394854
AFG,Afghanistan,South Asia,Low income,2015,,,169146608.0,19998156214.0,592.4765375,,-0.661709165,6976966153.82054,8.98900032043457,1.45131466009755
AFG,Afghanistan,South Asia,Low income,2016,,,93591315.3,18019558182.0,520.252064,,4.383891955,7281910524.1067,10.0860004425049,2.26031420130452
AFG,Afghanistan,South Asia,Low income,2017,,,51533896.77,18896352022.0,530.1498308,,4.975951506,8097280955.90196,11.1800003051758,2.64700320195786
AFG,Afghanistan,South Asia,Low income,2018,,,119435105.7,18418848300.0,502.0567706,,0.626149149,8206682106.31946,11.1099996566772,1.18922812838034
AFG,Afghanistan,South Asia,Low income,2019,,,23404553.65,18904490263.0,500.5226641,,2.302372515,8497655795.34729,11.085000038147,3.911603419423
AFG,Afghanistan,South Asia,Low income,2020,,,12970147.98,20143442151.0,516.8665522,,,9748946326.71795,11.710000038147,-2.35110067344623
AFG,Afghanistan,South Asia,Low income,2021,,,20600976.1,14786861638.0,368.7546142,,,,,-20.7371456208414
AFW,Africa Western and Central,,,2000,23.73088986,36.23347081,2560094805.0,140410000000.0,520.7865838,41.53390934,2.530775167,,4.66642263665412,3.74366661670236
AFW,Africa Western and Central,,,2001,28.32397021,30.80566954,3224338688.0,146780000000.0,529.5849389,29.52731782,4.36152914,,4.58178056550067,5.21766281315892
AFW,Africa Western and Central,,,2002,25.39538098,28.03649612,4408519415.0,176606000000.0,619.7732823,25.74476959,3.188693302,,4.44873299359231,9.93814877322885
AFW,Africa Western and Central,,,2003,28.30645033,29.38595767,5262166818.0,204471000000.0,697.9052908,24.9191676,1.760904101,,4.40596904675248,5.53211258339867
AFW,Africa Western and Central,,,2004,22.04775901,26.3542261,4653748700.0,253472000000.0,841.357961,26.87118834,0.694336306,,4.3525620416528,8.02283752807899
AFW,Africa Western and Central,,,2005,21.76605129,27.0917148,9278129442.0,310094000000.0,1000.869581,28.64409716,5.631633514,,4.3214962368522,5.85289191452389
AFW,Africa Western and Central,,,2006,21.36148076,31.65184626,9202356526.0,395656000000.0,1241.8519,37.87226623,4.415899842,,4.20305838032003,5.37976547612749
AFW,Africa Western and Central,,,2007,25.68061646,26.54434776,13030657207.0,464426000000.0,1417.60505,21.36101391,3.60736768,,4.14827042031336,5.53913084124633
AFW,Africa Western and Central,,,2008,23.92812497,29.93849376,16317443290.0,566479000000.0,1681.47768,25.24194042,8.452976233,,4.16744297952451,6.2830286583321
AFW,Africa Western and Central,,,2009,25.3134066,24.26007361,18159745851.0,507030000000.0,1463.393293,20.54731927,3.282440376,,4.21507268199001,6.28838134284739
AFW,Africa Western and Central,,,2010,25.86576367,29.45936252,18874323023.0,597129000000.0,1675.739572,20.51251563,1.784844205,,4.23577745671536,6.96542660958637
AFW,Africa Western and Central,,,2011,28.14702129,34.21439888,24501138032.0,680456000000.0,1856.687669,20.82749223,4.018699075,,4.18882767264463,4.85204840851215
AFW,Africa Western and Central,,,2012,22.91683986,34.0066516,20912687292.0,736040000000.0,1953.407033,26.81073425,4.578374635,,4.16755614622719,5.1355837221919
AFW,Africa Western and Central,,,2013,21.76321505,23.59040027,19157553412.0,832217000000.0,2149.295219,17.98462441,2.439200761,,3.8044475021588,6.1087579516246
AFW,Africa Western and Central,,,2014,20.76512022,23.28848891,16598028197.0,892498000000.0,2243.271464,22.09513039,1.75805196,,3.98587798262434,5.93044966738303
AFW,Africa Western and Central,,,2015,20.14950385,17.40434796,15643172769.0,766958000000.0,1876.623483,18.04847286,2.130268062,,4.24113597618525,2.74513738741805
AFW,Africa Western and Central,,,2016,21.27796924,16.87937835,13937041742.0,690545000000.0,1645.023767,16.49248214,1.494563664,,4.11295791765579,0.113686988857182
AFW,Africa Western and Central,,,2017,22.41610245,20.81683874,17662420840.0,683748000000.0,1585.91193,17.95523501,1.764634952,,4.14048380439269,2.30562349545798
AFW,Africa Western and Central,,,2018,24.5202614,22.31298,15492839383.0,766360000000.0,1731.311792,18.67723337,1.784049948,,4.20159855917052,2.94617459918982
AFW,Africa Western and Central,,,2019,26.05481353,21.71212071,12452960018.0,794719000000.0,1749.303317,21.37118218,1.758565176,,4.26141400612556,3.19087886773977
AFW,Africa Western and Central,,,2020,17.18302744,15.8046611,10906455080.0,784800000000.0,1683.436391,26.12557577,2.437608822,,4.91414336183036,-0.90038189459645
AFW,Africa Western and Central,,,2021,21.33910748,19.73251808,20677155529.0,840187000000.0,1757.030626,31.32890414,3.837868028,,4.87363510086898,3.96539855725513
AGO,Angola,Sub-Saharan Africa,Lower middle income,2000,62.86127827,89.68583119,878620000.0,9129594819.0,556.8842437,39.20787725,324.9968716,1198212373.02401,4.16300010681152,3.05462423430785
AGO,Angola,Sub-Saharan Africa,Lower middle income,2001,74.94685096,75.38894373,2145470000.0,8936063723.0,527.4632018,14.48022216,152.5610225,731866198.100655,4.11899995803833,4.2059985561951
AGO,Angola,Sub-Saharan Africa,Lower middle income,2002,48.21659641,57.0849959,1743504000.0,15285594828.0,872.6577717,28.87681621,108.8974361,375545950.307129,4.04300022125244,13.6656887608562
AGO,Angola,Sub-Saharan Africa,Lower middle income,2003,49.57989074,54.32133881,3576971780.0,17812704825.0,982.8056006,26.05546132,98.22414366,634199422.3308,4.04300022125244,2.99000000000001
AGO,Angola,Sub-Saharan Africa,Lower middle income,2004,45.19958873,58.38035832,2197227820.0,23552047248.0,1254.695563,33.5571223,43.54210675,1379588147.35472,3.97199988365173,10.9500000059465
AGO,Angola,Sub-Saharan Africa,Lower middle income,2005,41.06469436,65.52626777,-1303836930.0,36970918699.0,1900.724725,41.18775982,22.95351385,3196850749.33725,3.91499996185303,15.0299999905513
AGO,Angola,Sub-Saharan Africa,Lower middle income,2006,31.15729583,63.4678635,-37714860.0,52381006892.0,2597.962682,43.45461379,13.30521018,8149079645.64961,3.88199996948242,11.549999997879
AGO,Angola,Sub-Saharan Africa,Lower middle income,2007,40.15428452,67.90578337,-893342152.0,65266452081.0,3121.350475,41.49894701,12.25149745,11196800894.0338,3.82699990272522,14.0100000086059
AGO,Angola,Sub-Saharan Africa,Lower middle income,2008,48.88967965,72.4750288,1678971010.0,88538610805.0,4081.715004,38.65891147,12.47582913,17869411576.4837,3.79099988937378,11.1699999942146
AGO,Angola,Sub-Saharan Africa,Lower middle income,2009,63.68882591,58.7573003,2205298180.0,70307166934.0,3123.697586,27.65783743,13.73028393,13664098153.6474,3.77999997138977,0.860000002152788
AGO,Angola,Sub-Saharan Africa,Lower middle income,2010,42.58053241,61.54311589,-3227211182.0,81699526881.0,3496.784796,36.97390913,14.46965649,19678661657.2159,9.43000030517578,4.85999999863851
AGO,Angola,Sub-Saharan Africa,Lower middle income,2011,39.31255882,60.66994752,-3023770966.0,109437000000.0,4511.153227,37.8623819,13.48246792,27039761554.085,7.3600001335144,3.47000000135648
AGO,Angola,Sub-Saharan Africa,Lower middle income,2012,35.85996671,55.94013063,-1464627991.0,124998000000.0,4962.552072,37.19934873,10.27790492,31161778888.6797,8.06400012969971,8.54000000289987
AGO,Angola,Sub-Saharan Africa,Lower middle income,2013,36.06484697,50.74708579,-7120017424.0,133402000000.0,5101.983876,31.99138236,8.777814293,31500815461.6599,8.83399963378906,4.9499999975523
AGO,Angola,Sub-Saharan Africa,Lower middle income,2014,34.63789332,44.69502946,3657514667.0,137244000000.0,5059.080441,29.87307881,7.280387304,27032344084.4907,9.57999992370605,4.81999999862724
AGO,Angola,Sub-Saharan Africa,Lower middle income,2015,33.13391814,29.75459795,10028215163.0,87219300385.0,3100.830685,24.78292897,9.353839725,23790543425.2351,9.58399963378906,0.939999999384781
AGO,Angola,Sub-Saharan Africa,Lower middle income,2016,25.24567262,28.12448545,-179517618.9,49840491178.0,1709.515534,23.96700974,30.69895786,23672191989.4347,9.58600044250488,-2.5799999964437
AGO,Angola,Sub-Saharan Africa,Lower middle income,2017,23.25272516,29.004102,-7397295409.0,68972769396.0,2283.214233,23.05584811,29.84257779,17455327770.6619,9.53499984741211,-0.149999999638098
AGO,Angola,Sub-Saharan Africa,Lower middle income,2018,25.5417235,40.83628983,-6456076413.0,77792944472.0,2487.500996,25.09271094,19.63059436,15410405365.47,9.52200031280518,-1.31631210213166
AGO,Angola,Sub-Saharan Africa,Lower middle income,2019,17.03878307,40.79075505,-4098478748.0,69309110146.0,2142.238757,32.09564745,17.07970441,16334853784.0603,9.48099994659424,-0.69999999780272
AGO,Angola,Sub-Saharan Africa,Lower middle income,2020,16.24537278,35.64207314,-1866468113.0,53619073505.0,1603.993477,30.43104426,22.27156431,13781988139.5961,10.3500003814697,-5.60000000041939
AGO,Angola,Sub-Saharan Africa,Lower middle income,2021,16.19734892,44.27571642,-4355116553.0,67404287260.0,1953.533757,40.20985124,25.75426565,14468113825.809,10.3839998245239,1.09999999999965
ALB,Albania,Europe & Central Asia,Upper middle income,2000,43.33878759,20.11528555,143000000.0,3480355258.0,1126.68334,25.89134918,0.050018136,646305676.491804,19.0279998779297,6.94621659244254
ALB,Albania,Europe & Central Asia,Upper middle income,2001,45.1576132,21.33341083,207300000.0,3922100794.0,1281.659826,28.92521879,3.10758827,770581227.384293,18.5750007629395,8.29331263121023
ALB,Albania,Europe & Central Asia,Upper middle income,2002,47.57945205,20.94561617,135000000.0,4348068242.0,1425.124219,25.51671658,7.770525834,866478231.283188,17.8950004577637,4.53652416035675
ALB,Albania,Europe & Central Asia,Upper middle income,2003,46.17317459,20.84738645,178036400.7,5611496257.0,1846.120121,26.25826888,0.484002612,1038294231.23302,16.9890003204346,5.52863746491788
ALB,Albania,Europe & Central Asia,Upper middle income,2004,44.82962655,22.21756076,341285112.5,7184685782.0,2373.581292,29.38483682,2.280019169,1387912853.56432,16.3099994659424,5.51466791097914
ALB,Albania,Europe & Central Asia,Upper middle income,2005,47.85935563,23.01299115,262479012.6,8052073539.0,2673.786584,30.10650202,2.366581957,1439592137.1131,15.9700002670288,5.52642424695465
ALB,Albania,Europe & Central Asia,Upper middle income,2006,49.05748251,25.20960773,325138316.8,8896072919.0,2972.742924,29.06894625,2.370728319,1812802559.88129,15.6300001144409,5.90265903591924
ALB,Albania,Europe & Central Asia,Upper middle income,2007,54.95421469,28.24786542,652275603.7,10677324144.0,3595.038057,23.95429402,2.932682482,2161936583.38148,15.9700002670288,5.98325951855567
ALB,Albania,Europe & Central Asia,Upper middle income,2008,52.14933338,25.30241812,1247181714.0,12881353508.0,4370.539925,17.73092352,3.320870904,2363791896.73249,13.0600004196167,7.50004143020151
ALB,Albania,Europe & Central Asia,Upper middle income,2009,49.85416579,25.24074861,1345415234.0,12044208086.0,4114.134899,17.33589454,2.266922095,2368942443.29456,13.6700000762939,3.35428934987461
ALB,Albania,Europe & Central Asia,Upper middle income,2010,48.563955,27.97943524,1089898208.0,11926922829.0,4094.348386,19.96761992,3.626046956,2540673823.18045,14.0900001525879,3.70693815255319
ALB,Albania,Europe & Central Asia,Upper middle income,2011,51.97703179,29.24153714,1048706682.0,12890764531.0,4437.142612,20.54545578,3.429123247,2471402724.94026,13.4799995422363,2.54540614450104
ALB,Albania,Europe & Central Asia,Upper middle income,2012,47.57271286,28.93748776,917994575.8,12319830437.0,4247.630047,19.62510367,2.031592684,2599863597.31882,13.3800001144409,1.4172427999078
ALB,Albania,Europe & Central Asia,Upper middle income,2013,46.95739871,28.91631514,1254150556.0,12776220507.0,4413.062005,17.74129421,1.937620802,2773278107.16848,15.8699998855591,1.00201754071108
ALB,Albania,Europe & Central Asia,Upper middle income,2014,47.19484414,28.21300146,1149927986.0,13228147516.0,4578.633208,15.92938749,1.625865044,2665215805.2185,18.0499992370605,1.77444885260394
ALB,Albania,Europe & Central Asia,Upper middle income,2015,44.53361519,27.26739115,989578334.8,11386850130.0,3952.802538,16.8639814,3.501208355,3138517990.16501,17.1900005340576,2.21872637517804
ALB,Albania,Europe & Central Asia,Upper middle income,2016,45.83196365,28.97789918,1044389555.0,11861199831.0,4124.05539,17.04907325,-0.36731721,3108607051.81759,15.4200000762939,3.31498068384137
ALB,Albania,Europe & Central Asia,Upper middle income,2017,46.62446595,31.56980805,1022757857.0,13019689337.0,4531.019374,16.52936416,2.060598459,3588583656.8278,13.6199998855591,3.80222740040676
ALB,Albania,Europe & Central Asia,Upper middle income,2018,45.23619092,31.57192721,1204383364.0,15156432310.0,5287.663694,16.54723338,2.028059631,3893560031.06681,12.3000001907349,4.01935968514439
ALB,Albania,Europe & Central Asia,Upper middle income,2019,44.97492449,31.30427013,1201022154.0,15401830754.0,5396.215864,14.39660635,1.41109079,3763661058.67744,11.4700002670288,2.08806337615015
ALB,Albania,Europe & Central Asia,Upper middle income,2020,37.24776794,22.70398154,1069744880.0,15131866271.0,5332.160475,13.50305531,1.620886617,4817386149.20461,13.0670003890991,-3.48163037314293
ALB,Albania,Europe & Central Asia,Upper middle income,2021,43.9123447,30.62332003,1218586452.0,18255787479.0,6492.872012,19.29226212,2.041471631,5634561133.54085,12.6829996109009,8.51550112324915
AND,Andorra,Europe & Central Asia,High income,2000,,,,1429049198.0,21620.48502,,,,,3.52836236122388
AND,Andorra,Europe & Central Asia,High income,2001,,,,1546926174.0,22809.29187,,,,,8.11935772169949
AND,Andorra,Europe & Central Asia,High income,2002,,,,1755910032.0,24783.8365,,,,,4.54636221364653
AND,Andorra,Europe & Central Asia,High income,2003,,,,2361726862.0,31955.38802,,,,,8.69420371612468
AND,Andorra,Europe & Central Asia,High income,2004,,,,2894921778.0,37629.12896,,,,,8.13567633837351
AND,Andorra,Europe & Central Asia,High income,2005,,,,3159905484.0,39584.91575,,,,,5.39779598500422
AND,Andorra,Europe & Central Asia,High income,2006,,,,3456442103.0,43086.49983,,,,,4.80868869916921
AND,Andorra,Europe & Central Asia,High income,2007,,,,3952600602.0,50565.45648,,,,,1.55318814103222
AND,Andorra,Europe & Central Asia,High income,2008,,,,4085630584.0,53719.42127,,,,,-5.55918636850581
AND,Andorra,Europe & Central Asia,High income,2009,,,,3674409558.0,49753.6906,,,,,-5.30284654348291
AND,Andorra,Europe & Central Asia,High income,2010,,,,3449966857.0,48238.4661,,,,,-1.97495799965345
AND,Andorra,Europe & Central Asia,High income,2011,,,,3629203786.0,51429.19192,,,,,-0.0080697534113909
AND,Andorra,Europe & Central Asia,High income,2012,,,,3188808943.0,44904.58004,,,,,-4.97444371853503
AND,Andorra,Europe & Central Asia,High income,2013,,,,3193704343.0,44750.43568,,,,,-3.54759651549344
AND,Andorra,Europe & Central Asia,High income,2014,,,,3271808157.0,45682.24623,,,,,2.50446552114518
AND,Andorra,Europe & Central Asia,High income,2015,,,,2789870188.0,38885.37601,,,,,1.43414039522716
AND,Andorra,Europe & Central Asia,High income,2016,,,,2896679212.0,39932.16449,,,,,3.70967806978986
AND,Andorra,Europe & Central Asia,High income,2017,,,,3000180750.0,40632.48439,,,,,0.346071889630295
AND,Andorra,Europe & Central Asia,High income,2018,,,,3218316013.0,42903.44358,,,,,1.58876549046354
AND,Andorra,Europe & Central Asia,High income,2019,,,,3155065488.0,41327.50203,,,,,2.01554763848308
AND,Andorra,Europe & Central Asia,High income,2020,,,,2891022273.0,37207.49386,,,,,-11.1839399355384
AND,Andorra,Europe & Central Asia,High income,2021,,,,3330281524.0,42137.32727,,,,,8.94941798050814
ARB,Arab World,,,2000,30.13990911,,3840491004.0,816019000000.0,2842.619272,,1.853790353,,12.4478457077062,6.56567529597724
ARB,Arab World,,,2001,31.21492318,38.36690544,8899597181.0,798505000000.0,2720.517427,,1.772204374,,12.3240000753147,1.70044493153168
ARB,Arab World,,,2002,32.16964897,39.78532597,6159576371.0,803123000000.0,2676.909578,,1.83299389,,12.3300848699409,0.677285279278706
ARB,Arab World,,,2003,32.80735705,42.32094993,14595559434.0,887852000000.0,2896.054824,,2.712592475,,12.2542940003736,4.87514389313479
ARB,Arab World,,,2004,36.04654874,47.54919644,21373075475.0,1056250000000.0,3371.900995,,3.63228005,,11.2793411617153,8.86713235118548
ARB,Arab World,,,2005,35.97639611,51.92235666,46048851171.0,1297890000000.0,4048.845578,40.36619303,3.493685346,,11.1212581584985,5.52311681305511
ARB,Arab World,,,2006,35.5307764,53.28719401,69481323910.0,1538290000000.0,4679.878185,42.00754003,3.544985916,,10.4111854975762,6.08734030388736
ARB,Arab World,,,2007,39.84732588,53.23734309,81836608644.0,1790040000000.0,5303.838216,41.70485488,4.74390639,,10.0030513080955,4.57057386818454
ARB,Arab World,,,2008,40.63543993,56.01672369,88751312330.0,2253730000000.0,6501.826712,44.93719464,11.27066524,,9.69851873679926,5.5555331119797
ARB,Arab World,,,2009,41.53531758,45.45325471,76654497098.0,1978800000000.0,5562.24771,31.80571062,2.920897118,,9.31289674968892,0.38833354092489
ARB,Arab World,,,2010,37.09036627,47.94849699,70001315696.0,2327000000000.0,6385.356001,36.61699992,3.911061955,,9.38650684234694,4.74781067340896
ARB,Arab World,,,2011,35.75720167,53.57613148,44868032639.0,2541860000000.0,6826.51552,40.74063945,4.753163889,,10.4749676410935,3.24751365804008
ARB,Arab World,,,2012,36.35696078,54.8270061,50079903886.0,2787170000000.0,7327.268826,39.67098456,4.611844322,,10.6735450417056,5.1478332644664
ARB,Arab World,,,2013,37.50925361,53.09891329,41259115295.0,2843530000000.0,7307.373017,37.60630397,3.238108339,,10.7343392652866,2.58579735827979
ARB,Arab World,,,2014,38.4752591,48.96075798,31042743760.0,2895460000000.0,7276.428999,34.34221469,2.773516131,,10.8562137307999,2.93553926870702
ARB,Arab World,,,2015,41.09010325,41.12778674,25507493631.0,2538930000000.0,6245.787785,25.21136317,1.814077239,,10.9682191394431,3.29406818119725
ARB,Arab World,,,2016,38.33447802,37.84777344,32582348458.0,2516490000000.0,6062.681557,25.01598221,2.068840361,,10.7633586338785,3.51825229452645
